Round,YE (g/L),Tryptone (g/L),NaCl (g/L),K2HPO4 (g/L),MgSO4·7H2O (g/L),Glycerol (g/L),FAC (g/L),Na2S2O3 (g/L),Triton X-100 (g/L),Glycine (g/L),NH4OAc (g/L),CSL-P (g/L),ZnSO4·7H2O (g/L),Methionine (g/L),Cysteine (g/L),(NH4)2SO4 (g/L),EGT titer (mg/L),Medium material cost (CNY/L),EGT efficiency cost (mg /CNY)
Round 1,25.294118,16.705882,3.794118,1.647059,1.6,30,0.24,2.4,2.729412,1.058824,0,13.382353,1.929412,3.323529,5.352941,0,267.14205,50.708332,5.268208
Round 1,27.941176,8.705882,3.176471,1,0.423529,30,0.051765,2.964706,4.423529,0,0.847059,30,0.282353,4.676471,4,0,289.30648,53.32192,5.425658
Round 1,25.294118,16.705882,3.794118,1.882353,1.223529,30,0.169412,5.929412,2.258824,0,0.847059,0,1.129412,0.676471,2,0,282.512265,38.660609,7.307496
Round 1,35.882353,11.294118,3.794118,1.647059,0.611765,30,0.216471,1.976471,4.988235,0,0.847059,6.617647,1.364706,4.676471,5.352941,0,272.024502,46.412492,5.861019
Round 1,22.5,7.294118,2.205882,1.235294,0.8,30,0.216471,3.952941,2.258824,0,0.847059,10,0.564706,2,6,0,221.224327,35.746205,6.18875
Round 1,11.911765,16.705882,4.147059,1,1.788235,30,0.145882,2.964706,2.258824,0,0.847059,26.617647,1.647059,5.323529,2,0,220.632717,50.314412,4.38508
Round 1,33.235294,18,2.823529,1.882353,1.411765,21.529412,0.216471,1.411765,3.294118,1.058824,0,0,0,6,2.647059,0,200.294731,46.063176,4.348261
Round 1,11.911765,16.705882,2.823529,2.352941,0.988235,14.823529,0.051765,3.388235,3.294118,4.470588,0.847059,13.382353,0,3.323529,1.352941,0,168.787081,40.935812,4.123213
Round 1,11.911765,7.294118,3.794118,1.882353,0.611765,21.529412,0.24,3.952941,2.258824,1.058824,0,23.382353,1.929412,0.676471,2,0,228.492755,35.391226,6.456198
Round 1,25.294118,10,2.470588,3,1.6,38.117647,0.028235,3.952941,4.988235,5.529412,0,10,0.282353,4,2.647059,0,258.264642,41.421614,6.235021
Round 1,25.294118,10,3.176471,3,0.611765,28.235294,0.028235,3.388235,0.564706,6.705882,0,16.617647,0,2.676471,0.647059,0,205.353843,42.527012,4.828786
Round 1,19.852941,12.705882,2.205882,1,0.235294,34.941176,0.028235,2.964706,4.423529,8.941176,0,30,0,5.323529,3.352941,0,188.050147,55.908859,3.363513
Round 1,11.911765,10,2.823529,2.352941,0.423529,41.647059,0.216471,5.929412,0.564706,6.705882,0,30,0,1.323529,1.352941,0,213.362425,45.215647,4.718774
Round 1,22.5,16.705882,1.852941,1.882353,0.235294,21.529412,0.075294,1.976471,1.694118,1.058824,0.847059,30,0.564706,0.676471,3.352941,0,256.128292,56.786416,4.51038
Round 1,17.205882,6,2.823529,1.882353,1.976471,31.411765,0.098824,3.952941,3.294118,7.764706,0.847059,13.382353,0,3.323529,4.647059,0,210.178973,35.732918,5.881943
Round 1,17.205882,6,3.794118,2.117647,0.988235,28.235294,0.028235,5.364706,1.129412,4.470588,0.847059,13.382353,0,5.323529,2,0,210.817092,33.298553,6.331119
Round 1,30.588235,18,3.794118,2.764706,1.976471,34.941176,0.145882,3.952941,1.129412,7.764706,0.847059,20,0,4,4,0,142.48519,60.956482,2.33749
Round 1,11.911765,15.294118,2.823529,1,1.976471,28.235294,0.192941,2.4,3.294118,7.764706,0.847059,3.382353,0,1.323529,4,0,232.203831,35.210329,6.594765
Round 1,17.205882,8.705882,2.205882,2.352941,0.235294,14.823529,0.145882,4.376471,3.294118,5.529412,0.847059,30,0,4,1.352941,0,194.482027,46.221471,4.207612
Round 1,30.588235,7.294118,3.794118,2.764706,1.788235,18,0.098824,3.388235,0.564706,6.705882,0.847059,13.382353,0,6,2.647059,0,120.77245,42.541306,2.838946
Round 1,27.941176,8.705882,1.852941,1.647059,1.223529,34.941176,0.216471,3.952941,3.858824,3.294118,0.847059,30,0,0.676471,3.352941,0,243.748391,52.641329,4.630362
Round 1,14.558824,6,3.794118,1.882353,1.976471,34.941176,0.075294,3.388235,4.423529,5.529412,0.847059,26.617647,0,5.323529,0.647059,0,232.327222,40.702247,5.70797
Round 1,25.294118,18,3.529412,2.117647,0.235294,14.823529,0.075294,1.976471,3.858824,8.941176,0.847059,16.617647,0,2,0.647059,0,182.738533,51.858047,3.523822
Round 1,17.205882,14,4.147059,3,1.6,24.705882,0.24,3.388235,4.988235,8.941176,0.847059,6.617647,0.282353,4.676471,2,0,196.604814,39.661908,4.957019
Round 1,30.588235,16.705882,3.794118,2.764706,0.988235,28.235294,0.24,2.4,0.564706,1.058824,0,0,1.647059,6,4,0,247.167301,44.415235,5.564922
Round 1,14.558824,14,3.794118,1.882353,0.988235,21.529412,0.051765,3.952941,3.294118,1.058824,0,10,1.647059,5.323529,2,0,244.906602,37.729424,6.49113
Round 1,33.235294,18,3.176471,1.882353,1.788235,21.529412,0.051765,4.941176,1.129412,1.058824,0,23.382353,2.494118,3.323529,4.647059,0,225.254845,62.18176,3.622523
Round 1,22.5,12.705882,3.529412,2.764706,0.423529,24.705882,0.051765,3.388235,3.858824,1.058824,0,0,1.129412,6,3.352941,0,209.542498,35.439962,5.912605
Round 1,19.852941,12.705882,3.794118,2.764706,0.611765,28.235294,0.24,5.364706,1.694118,6.705882,0,20,1.929412,6,3.352941,0,164.419108,49.028473,3.353543
Round 1,25.294118,18,4.147059,1.882353,1.223529,31.411765,0.075294,3.388235,2.258824,7.764706,0,16.617647,0.282353,1.323529,2,0,254.963737,52.954873,4.814736
Round 1,14.558824,10,3.529412,2.117647,1.6,44.823529,0.028235,2.4,3.858824,4.470588,0,20,2.494118,4,6,0,279.700207,44.338936,6.30823
Round 1,22.5,16.705882,4.147059,2.764706,0.611765,28.235294,0.24,1.411765,3.294118,5.529412,0,0,0.847059,5.323529,3.352941,0,233.204794,40.890525,5.70315
Round 1,35.882353,7.294118,1.852941,1.647059,1.223529,38.117647,0.028235,1.976471,0.564706,4.470588,0,30,0.564706,3.323529,0.647059,0,213.914628,53.726605,3.98154
Round 1,25.294118,14,2.823529,1.882353,1.223529,44.823529,0.075294,3.952941,0.564706,10,0,16.617647,1.129412,5.323529,2.647059,0,178.133513,51.561233,3.454795
Round 1,11.911765,11.294118,2.470588,3,0.235294,34.941176,0.216471,2.4,3.858824,1.058824,0.847059,26.617647,1.929412,3.323529,5.352941,0,277.273037,46.759944,5.929713
Round 1,33.235294,11.294118,2.205882,2.352941,0.8,38.117647,0.075294,5.929412,1.694118,1.058824,0.847059,6.617647,0.847059,6,4,0,301.546276,45.213442,6.669394
