(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
10.224014,-52.815525,3.7874544,-9.10214,-1.0728661,0.13866657,-1.7190678,-3.8862493,-4.1871576,2.566939,17.116438,1.3570893,-2.5571942,-10.526537,-1.9655114,0.026934188
12.880935,4.7859645,8.921221,-3.9948654,-1.3046392,-1.3020623,3.0313337,1.2977993,2.0280857,-3.5319953,21.580616,-0.078143954,-0.19107829,4.8433533,1.6845026,-3.0356348
13.030209,5.949864,6.2261457,10.00825,1.2544087,2.2419605,-3.8783088,0.68473274,1.1593541,1.5881777,24.32506,2.8950746,1.5276452,-5.1266837,3.3344464,4.4504066
12.462628,4.933877,5.50928,-2.5368364,-1.4666848,1.5656986,4.2514963,1.3053426,1.9378554,4.236094,23.03199,1.2887213,0.769203,4.5217004,0.0016977874,0.7586594
13.476885,5.071932,8.687812,-3.3811083,-1.5117972,-2.2046525,-0.8356661,18.763584,0.24777125,-3.8191824,23.75107,-1.6739162,-1.5501194,4.635611,-1.9778266,-5.096597
12.303449,3.8418062,4.6109,-3.7330155,0.31082085,-1.6739733,-2.8378663,-12.154676,1.002541,-3.783527,21.955833,-2.6050081,0.349089,-5.396801,-1.5624233,-9.117192
11.917307,3.5341299,6.054489,3.3411212,-1.6200407,0.5171165,3.3325975,-12.632371,-4.518284,2.856024,22.935904,1.4717376,0.2945828,3.6342669,0.22472832,0.7778644
11.724721,1.3228542,5.273865,-2.247395,-0.1637398,0.23349696,7.3959284,7.308436,-0.8158871,0.6530177,18.328136,-44.17788,-2.7288964,-12.69633,-2.256009,-6.378664
11.205269,2.895201,2.130085,-6.7715006,0.5880537,0.29076913,3.4118955,-2.2027416,1.9689213,4.1246276,18.60978,-79.04136,0.24323286,-8.33238,-2.0694823,2.400345
10.806433,1.4463341,10.065379,3.8813581,-1.7272838,1.2604067,-6.7137876,-8.619195,1.9011381,5.4756455,18.23062,-42.290066,0.6740248,1.8981693,0.83775365,-3.8373837
13.259131,2.459635,7.2392626,-3.0094843,0.02549178,-2.0268612,-7.0051355,-1.3863547,1.9587823,-1.0278562,23.538115,15.185757,0.3011145,-8.25537,0.43392107,0.7734358
11.240175,-36.44426,-1.7936529,1.819312,2.8351505,-3.5226414,-2.3864813,-2.6080854,0.45859522,4.213694,19.834158,-1.1024559,-0.37157533,-8.525115,-0.9894292,2.9120014
14.434977,4.2991433,-89.29833,7.107783,6.1907787,2.2372653,-1.041449,-8.708764,-5.6893573,3.809318,9.557083,5.386423,7.035552,1.9495106,6.49131,4.8388
12.367301,-45.450573,0.24010187,6.7281885,3.188624,-1.1473593,-1.1712056,-4.5712085,2.0161245,2.3324544,21.245872,10.141687,-0.5044838,-6.7963095,1.2369865,-5.9247646
12.48212,3.4279618,5.739874,8.978704,1.7850869,1.9211141,5.8657575,-2.8455164,1.6587129,1.4018751,20.682621,-33.834164,-1.7561437,-0.28579715,8.840108,2.1247828
15.160907,3.9456506,-90.76287,-2.3502464,6.3429756,2.023363,-4.70677,-4.9070992,2.3383965,-5.3410344,29.952307,5.7146654,-4.0695543,0.98099136,3.548045,0.65325
10.575432,-7.3809867,5.340961,-5.133238,-2.6832547,1.3726052,-5.09754,-10.267388,-6.628617,3.797879,23.33258,-3.2419345,-1.6940782,-8.246829,-1.2019348,3.0386336
12.473368,-12.744063,-100.48118,0.6980022,-7.1035805,-1.5714409,4.197345,-0.052367378,0.4037137,-2.9095778,28.908152,5.700388,-3.833626,-2.507478,3.3943334,-1.8157959
16.507479,5.2948456,-69.68005,0.94888604,7.4235606,3.134008,5.1033177,-2.9562495,3.0564413,-1.830554,31.816172,-2.1622133,6.563333,2.5777216,7.2174454,-1.1303376
11.099277,3.3456419,2.4899502,11.214499,1.0371495,-0.43477654,-3.7786474,-3.9235494,0.82893336,4.9388356,18.802437,-74.679245,2.81541,-5.237245,8.125221,0.7617467
10.342492,-25.254353,-7.9028854,-7.532094,-7.4813046,-1.0459602,-6.2308707,0.19274016,-5.4201903,0.1314794,17.274097,-56.61424,-0.75902873,-8.86227,0.67115855,-0.100018956
13.507163,4.5427027,6.904993,3.8394713,-0.9639411,-2.502595,-6.647815,0.022928668,-0.32686746,-1.4445088,22.57005,9.4349165,-0.6916945,-10.08864,-3.639182,-9.8325615
11.353627,6.3571854,6.5589876,4.8627157,-0.9378036,1.3932297,-5.7095094,-10.222886,-7.363529,2.777216,24.726868,10.229097,1.1233048,-3.6067526,2.3931527,1.933157
10.091632,3.152534,-41.70241,-0.7455315,-5.835189,0.053597257,3.9731433,-0.10860852,1.9113504,6.490504,28.97859,-44.37869,2.8795722,-4.36571,0.95006853,1.6767837
10.672818,1.2417914,-78.146805,-1.922354,-8.659392,-0.807355,6.083811,-6.8470964,-0.66971993,6.4852734,28.251253,-25.805307,-4.1431518,-3.7779033,1.1775589,-2.8904722
11.752327,-46.273106,9.420505,-6.108131,-2.6258552,-0.97509027,0.51613176,3.0147479,-2.5190158,0.23899208,19.038664,-1.8872443,-1.0515863,5.682848,-1.0196671,-0.57860875
11.340652,2.2365394,9.964024,-1.62298,-1.8205509,2.6546235,8.661439,-7.01007,-2.2156153,4.5512695,19.906868,-32.997704,1.3113475,5.704299,0.008283053,4.0967503
11.96715,-5.88953,6.8434443,1.6547364,-0.5240835,-0.23619908,9.073645,8.298822,0.87631667,-4.3367405,18.504196,-41.10229,-2.091318,2.7879322,-2.501239,2.5875735
11.892339,2.9226718,9.510974,-3.75793,-1.4446379,-3.6875439,-1.3405501,-5.872884,-3.7498946,1.3625419,18.960054,-38.312164,-0.3035014,2.984141,-1.2323476,2.3093476
10.906905,1.4382293,-14.960379,-0.86471355,-7.9554424,-3.661212,-2.7070668,-22.071575,-12.02007,-0.38893253,21.27488,-8.481865,-2.3350239,-0.2985712,-3.63814,-8.905454
12.928592,2.3040268,-119.83061,-0.12267888,-6.2693377,1.830566,5.9468675,1.5835744,1.6314366,6.3122663,6.7347484,5.9317765,-3.9965298,-7.329301,0.31474292,2.5414252
13.28965,6.560473,10.051653,0.8178172,-1.1306872,1.3881004,-4.7371483,-10.622246,2.9256387,-3.4759028,24.140442,21.81555,-0.2286907,-2.7954054,0.07497796,2.2438967
12.4335,4.2082253,7.12425,-2.2435136,-2.116501,0.22599803,1.8350372,-13.011078,-4.3189197,1.1268067,22.974264,-6.738098,-2.7922156,-0.8853027,-2.6760767,-1.8845336
11.466747,-47.920994,5.974474,5.8453565,1.7515346,-0.6080535,-3.649828,11.649503,2.7099724,1.9449054,22.100775,7.7738857,-2.4270384,-7.577487,-1.3132229,3.3159025
15.419949,-21.016508,-86.15442,2.750645,7.0059805,4.64244,6.1499977,1.8216214,-1.0333564,5.2098126,6.378282,8.714043,-2.4069967,4.0963607,2.235599,2.984402
12.848109,6.667604,8.571967,5.999092,1.2089939,-0.65239775,-1.7597829,-10.708049,3.1396782,-1.5542424,23.596756,9.725682,0.20419864,2.0877442,6.435217,-8.036954
14.7949505,6.6757865,8.693037,-2.5458324,2.3774064,-0.4076062,0.75713676,17.049406,-2.63863,2.6387787,23.809175,15.513048,0.5772507,-4.245092,-2.3353665,1.1381198
15.507185,-16.107237,5.1894174,1.2061374,1.7303995,2.9554203,-3.3075883,10.6061735,0.48216027,0.5156256,23.16936,15.853159,0.025706945,4.9086065,-1.7440621,4.10628
12.115827,2.555412,3.3247938,-4.3813405,0.3034195,-0.4616325,-6.665445,1.2224395,-5.784783,0.28260466,23.32644,13.6116705,-1.8863739,-11.01091,-2.6416426,0.75576615
11.243403,-54.145657,1.7570419,-8.852975,0.37827882,-1.2137474,-0.8951241,-4.337708,1.4302824,2.3730543,17.86552,8.824874,0.5677609,-7.6690464,1.9776047,-1.1470397
13.569593,5.611394,8.756397,-1.8081199,-0.8110367,0.3704749,-5.189003,0.10121841,-5.631994,2.3497257,21.835217,19.24237,1.8963735,-5.921278,2.548885,1.4208333
-48.568127,2.2612154,-40.07078,-1.6562642,-2.7184496,3.1518228,-2.383839,0.69111305,-2.8113832,0.99022627,-111.26381,-23.419361,2.2193658,0.34794962,3.2564826,0.14309531
-64.50307,3.6322904,3.564462,-7.605166,1.0324193,0.37215555,-3.4949465,-0.70227057,0.3786173,-6.792842,16.125702,-68.98278,0.22701712,-5.1286473,0.35200587,3.0935209
