,random_seed,model,training_rounds,selected_top20_cv_r2_mean,selected_top20_cv_spearman_mean,selected_top20_cv_mae_mean,round4_r2,round4_spearman,round4_mae,next_r2,next_spearman,next_mae,training_n,round4_n,cv_fold_count,searched_parameter_count,selected_parameter_count,selection_metric
0,0,Round1,Round 1,0.7865941793903029,0.8540096629718148,36.641648057430395,-0.24011162274447595,0.3129192904473803,40.93808583964844,0.16699778409215282,0.48471004650779925,32.81964926213107,90,90,5,200,20,cv_mae_mean_ascending
1,1,Round1,Round 1,0.7553982524946089,0.8506670931617812,37.95814814922569,-0.20798854097120878,0.3004897723998847,40.238520800993925,0.1698553780963692,0.4857636745277194,32.958034456618925,90,90,5,200,20,cv_mae_mean_ascending
2,42,Round1,Round 1,0.642256149247057,0.7790528893658594,42.56849623593996,-0.0578949746811841,0.3789192081326912,37.65882880917752,0.22561070994216936,0.5500185208050377,31.672310612348095,90,90,5,200,20,cv_mae_mean_ascending
3,123,Round1,Round 1,0.7300203464444869,0.8099847186587773,38.282996760216534,-0.06282315048288667,0.37203770012758774,37.84241944346355,0.1636873997029732,0.48703132073918587,33.03115936533203,90,90,5,200,20,cv_mae_mean_ascending
4,256,Round1,Round 1,0.7845711772036675,0.8475908902127756,37.38903596442515,-0.2274726275111143,0.3055438943079392,40.93715679278212,0.15255911514953913,0.47420669218422024,33.46817185119358,90,90,5,200,20,cv_mae_mean_ascending
5,512,Round1,Round 1,0.7027924585628675,0.7983363571463429,38.235557173148685,-0.11109668686746255,0.3564472980203317,38.9434487264822,0.21096898945516895,0.5098489525455817,32.075262007704,90,90,5,200,20,cv_mae_mean_ascending
6,1024,Round1,Round 1,0.7543650259048905,0.8301736023490992,38.281570752096,-0.2140280428653858,0.3021031403053875,40.563454042667104,0.1378033655249009,0.4696793842861258,33.85073178401693,90,90,5,200,20,cv_mae_mean_ascending
7,2023,Round1,Round 1,0.7496456013895332,0.8216845585282325,38.965755234245805,-0.28267471533566546,0.2927192657529736,41.83994526282552,0.15695655240329465,0.49252994196814415,33.09326114827474,90,90,5,200,20,cv_mae_mean_ascending
8,2024,Round1,Round 1,0.7531912858374541,0.8220387795317221,38.86887912570678,-0.03854064248859168,0.3756924723216858,37.340717272369794,0.24665576254204968,0.5439930855661192,31.136907151443147,90,90,5,200,20,cv_mae_mean_ascending
9,2025,Round1,Round 1,0.7532339805334117,0.8128790142156751,37.39514970667056,-0.10435038884567693,0.3492365312590031,38.938523829939236,0.24526115375293212,0.5448162324566819,30.962587610937497,90,90,5,200,20,cv_mae_mean_ascending
10,0,Round1+2,Round 1+Round 2,0.8317077524506328,0.8596283281384316,29.180609800122433,0.35416598582677994,0.5636662962505659,28.31926613383355,-0.4653136050097073,0.29820142404412064,25.594145777180984,180,90,5,200,20,cv_mae_mean_ascending
11,1,Round1+2,Round 1+Round 2,0.8541672540656837,0.8748755205803714,27.84028508751548,0.3303125187096717,0.5516154257727292,28.51749432242188,-0.5557394055718698,0.28185372679754706,26.460528852300346,180,90,5,200,20,cv_mae_mean_ascending
12,42,Round1+2,Round 1+Round 2,0.8355843964976696,0.877503175990989,29.053834130083345,0.2870889961860995,0.5302465324937234,29.33145941257921,-0.7162237058655148,0.295221632300284,28.36755844380425,180,90,5,200,20,cv_mae_mean_ascending
13,123,Round1+2,Round 1+Round 2,0.8042154804831372,0.8647654974695499,30.6715693015689,0.3580212770622486,0.5622504835987981,28.13541121305773,-0.6327824736671146,0.24229328723710744,27.080749204741753,180,90,5,200,20,cv_mae_mean_ascending
14,256,Round1+2,Round 1+Round 2,0.8231013536697376,0.8588882293154665,29.75765453934274,0.31511348093545055,0.5468576367452772,28.747511432784293,-0.6240703609711318,0.3069761698975182,27.289445187315536,180,90,5,200,20,cv_mae_mean_ascending
15,512,Round1+2,Round 1+Round 2,0.8258810553337991,0.8693703791619003,29.485025328107678,0.3432085351059275,0.54926122566572,28.630504697701827,-0.5816307769309386,0.2570440795159896,26.39510994113498,180,90,5,200,20,cv_mae_mean_ascending
16,1024,Round1+2,Round 1+Round 2,0.8182935927056502,0.8775869603294784,29.82696949866093,0.27297646759800465,0.5280240358892044,29.805820982345924,-0.6563624522779574,0.3390788986294604,27.55524841114366,180,90,5,200,20,cv_mae_mean_ascending
17,2023,Round1+2,Round 1+Round 2,0.8107384158054872,0.8510428061095562,30.56646219501572,0.30136773627464386,0.5432522533646128,28.970310982995883,-0.6254856599971041,0.27000041157344523,27.056248031412753,180,90,5,200,20,cv_mae_mean_ascending
18,2024,Round1+2,Round 1+Round 2,0.8056105604909906,0.8665623402637219,30.184376979148045,0.31780939685712006,0.5417870518994115,28.79106605939996,-0.6159970423604426,0.28842243898423675,27.102104099262153,180,90,5,200,20,cv_mae_mean_ascending
19,2025,Round1+2,Round 1+Round 2,0.817443056081717,0.8823390094570183,28.884695242534594,0.34239500954704427,0.556636621805161,28.347021537619362,-0.6436929683768502,0.24393958101823268,27.266277491634114,180,90,5,200,20,cv_mae_mean_ascending
20,0,Round1+2+3,Round 1+Round 2+Round 3,0.8509792249004138,0.8338762068241857,26.629092548408742,0.3506980143058349,0.6053833806642794,27.826220861894534,0.3506980143058349,0.6053833806642794,27.826220861894534,270,90,5,200,20,cv_mae_mean_ascending
21,1,Round1+2+3,Round 1+Round 2+Round 3,0.8588243730678053,0.8284745347900142,26.17286704107634,0.38975159384770663,0.6107173725151253,27.126735018387592,0.38975159384770663,0.6107173725151253,27.126735018387592,270,90,5,200,20,cv_mae_mean_ascending
22,42,Round1+2+3,Round 1+Round 2+Round 3,0.8306500916872002,0.8232122308454427,27.180998338673685,0.33778982179497896,0.6034407540025517,27.600452008589414,0.33778982179497896,0.6034407540025517,27.600452008589414,270,90,5,200,20,cv_mae_mean_ascending
23,123,Round1+2+3,Round 1+Round 2+Round 3,0.8407304514622244,0.822536145425515,26.88806056858119,0.3884741173178521,0.614734329341071,26.970162041629777,0.3884741173178521,0.614734329341071,26.970162041629777,270,90,5,200,20,cv_mae_mean_ascending
24,256,Round1+2+3,Round 1+Round 2+Round 3,0.8460736700886562,0.8271211263994965,26.333487850762527,0.37387591504452444,0.6082314689056262,27.381383588257385,0.37387591504452444,0.6082314689056262,27.381383588257385,270,90,5,200,20,cv_mae_mean_ascending
25,512,Round1+2+3,Round 1+Round 2+Round 3,0.8600154163343643,0.8271817498722799,25.723769323516137,0.3543802565780103,0.6052022883483557,27.72153318039931,0.3543802565780103,0.6052022883483557,27.72153318039931,270,90,5,200,20,cv_mae_mean_ascending
26,1024,Round1+2+3,Round 1+Round 2+Round 3,0.8503580791240093,0.8339729188194355,26.664655459089744,0.36062910725118713,0.609268633987735,27.5324115707053,0.36062910725118713,0.609268633987735,27.5324115707053,270,90,5,200,20,cv_mae_mean_ascending
27,2023,Round1+2+3,Round 1+Round 2+Round 3,0.8373902775901593,0.8170050623092173,26.6295953150925,0.3788157694323375,0.6148824957813721,27.236369203397356,0.3788157694323375,0.6148824957813721,27.236369203397356,270,90,5,200,20,cv_mae_mean_ascending
28,2024,Round1+2+3,Round 1+Round 2+Round 3,0.8405920210890849,0.8206162213727051,26.945092167472318,0.40151999550273976,0.6131703502490019,26.861676442306862,0.40151999550273976,0.6131703502490019,26.861676442306862,270,90,5,200,20,cv_mae_mean_ascending
29,2025,Round1+2+3,Round 1+Round 2+Round 3,0.8229054572950181,0.8128199518189158,28.280207918848703,0.3613322078585157,0.607902210149401,27.368037614791675,0.3613322078585157,0.607902210149401,27.368037614791675,270,90,5,200,20,cv_mae_mean_ascending
