(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,replicate_1,replicate_2,replicate_3,mean_titer(mg/L),CV
0,35,19,204,25,21,142,190,159,57,6,127,28,35,30,26,319.0313142,337.1454429,253.0054214,303.0607262,11.93118286
0,41,19,159,21,17,142,208,113,91,6,127,17,35,42,21,377.9870093,344.6951724,245.7396263,322.8072693,17.39872802
8,53,38,68,43,25,153,244,204,102,6,108,17,12,26,16,292.9632554,308.2095599,240.3873276,280.5200476,10.35672778
0,24,47,181,51,43,153,226,23,91,0,118,42,18,17,31,322.2767864,312.0049913,312.641435,315.6410709,1.488826483
0,24,47,68,47,40,153,208,113,57,0,118,28,18,26,11,355.5005494,343.3493813,330.0065536,342.9521614,3.035895578
0,24,19,113,47,32,130,172,136,91,6,99,35,29,26,36,276.5252234,288.7476356,290.4520464,285.2416351,2.174502698
8,47,19,23,21,17,153,244,159,79,6,108,17,47,42,26,342.4687973,353.0937103,326.9615239,340.8413438,3.148182462
0,53,0,159,17,17,85,244,181,57,0,89,24,53,34,6,314.5992419,305.735522,229.7638699,283.3662113,13.4366489
8,24,28,159,28,43,96,226,181,57,0,89,38,41,9,36,326.8456064,293.9934451,304.4788976,308.4393164,4.442069981
8,24,47,181,21,36,62,244,181,79,0,89,31,12,13,21,277.5161346,285.5668799,300.9425573,288.008524,3.374339707
0,18,9,159,43,43,85,226,113,34,0,80,31,47,21,16,321.0546175,313.1351362,313.4982765,315.8960101,1.155664391
0,24,19,45,21,40,108,226,159,34,0,80,10,47,38,46,298.7483952,279.7158181,302.0131697,293.492461,3.350107946
0,41,38,45,32,17,130,244,68,102,6,108,21,41,34,21,324.0027705,335.2938266,350.8734298,336.7233423,3.271639307
0,35,47,0,40,32,108,244,23,102,6,118,14,24,30,6,271.9387086,311.083598,320.7451237,301.2558101,7.004751555
8,53,28,68,32,32,142,172,181,68,6,89,42,35,21,46,284.7358962,281.4400136,285.0068453,283.727585,0.571440723
8,18,0,159,28,51,51,226,204,45,0,99,17,47,5,16,268.2348604,255.6409719,255.6058797,259.8272373,2.288099043
0,41,38,45,36,40,74,99,159,102,0,99,38,35,30,36,318.6918242,323.5073415,253.0054214,298.401529,10.77743802
8,24,28,181,21,43,96,208,45,11,0,118,38,24,26,26,283.4189175,303.2800555,317.0991294,301.2660341,4.588450679
0,41,9,45,51,21,108,244,159,23,6,89,21,6,42,6,326.7234315,267.3609065,312.9225471,302.3356284,8.389529037
0,47,47,0,36,40,96,208,0,79,6,99,10,35,21,11,268.7841053,260.4030067,296.4694459,275.2188526,5.59956816
8,47,9,181,51,21,62,226,91,79,0,89,10,24,17,16,320.9346556,301.6477945,321.0481348,314.5435283,2.89905138
8,41,38,23,36,47,142,208,91,11,6,127,42,0,30,11,260.0874011,256.5341184,263.8930895,260.1715363,1.154959692
0,29,57,68,51,32,130,81,0,57,0,108,14,53,30,46,202.1265301,166.8714446,192.7192958,187.2390902,7.960604061
8,35,9,159,21,40,62,226,45,45,6,127,21,41,38,46,279.3730426,270.4367043,287.6039605,279.1379025,2.511473694
8,24,38,68,25,43,130,244,91,23,0,89,28,0,5,46,269.2879035,280.4728497,299.4352415,283.0653316,4.395936027
0,53,19,159,21,28,153,172,68,68,0,99,21,41,5,11,347.5915622,313.388687,346.9619835,335.9807442,4.755351214
0,18,57,181,51,40,119,226,68,79,0,89,42,0,26,16,289.9982436,275.4483649,315.2941116,293.58024,5.607654879
8,12,9,136,21,51,85,226,159,68,6,89,14,41,30,36,305.419174,269.2162337,304.2003212,292.945243,5.730190344
0,53,28,23,21,32,96,226,204,68,0,80,38,47,17,16,270.9738332,271.6898191,296.130846,279.5981661,4.182439369
8,41,38,113,21,28,108,208,45,68,0,89,14,47,17,16,308.4488788,292.5566469,299.0547049,300.0200769,2.174450501
0,41,28,0,40,36,153,172,23,23,0,118,31,53,26,31,342.7339437,358.7285026,339.5984496,347.0202986,2.414073476
0,18,47,181,28,43,96,172,91,0,6,89,42,24,21,6,287.3652906,286.5008302,313.3004392,295.7221867,4.204862288
0,18,19,136,47,36,74,226,23,68,6,80,42,47,30,36,285.0695929,302.4049361,317.6205599,301.698363,4.407801679
