(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,regressors_std,mean_vote,UCB
0.0,35.0,19.0,68.0,36.0,51.0,62.0,190.0,204.0,34.0,6.0,118.0,18.0,24.0,22.0,36.0,285.57693,293.06497,232.7636,209.01064,194.887,44.424656,243.06062,287.4853
0.0,41.0,9.0,23.0,28.0,40.0,96.0,190.0,181.0,102.0,0.0,99.0,39.0,47.0,34.0,46.0,277.3667,274.13483,257.64334,215.85222,200.13026,35.068428,245.02547,280.0939
0.0,30.0,19.0,113.0,40.0,25.0,74.0,245.0,136.0,57.0,6.0,90.0,21.0,53.0,34.0,16.0,274.47647,282.88452,238.06381,214.54721,194.64502,37.855362,240.92342,278.77878
0.0,41.0,9.0,113.0,40.0,51.0,108.0,190.0,45.0,0.0,6.0,109.0,28.0,18.0,34.0,6.0,266.88022,284.08798,237.3245,209.70494,195.49983,37.292942,238.69951,275.99246
0.0,35.0,0.0,91.0,47.0,47.0,119.0,245.0,68.0,23.0,0.0,90.0,28.0,18.0,22.0,6.0,267.88998,278.59634,241.93082,207.5764,196.24117,36.143196,238.44695,274.59015
0.0,30.0,28.0,204.0,47.0,40.0,108.0,172.0,113.0,11.0,0.0,99.0,14.0,6.0,30.0,21.0,260.3478,283.97812,234.00435,206.03337,191.09735,38.107822,235.0922,273.2
0.0,41.0,9.0,113.0,51.0,40.0,153.0,190.0,136.0,45.0,6.0,99.0,11.0,30.0,14.0,51.0,285.01767,251.19792,239.81062,206.59248,197.50574,35.337082,236.02487,271.36194
0.0,0.0,28.0,91.0,32.0,40.0,96.0,209.0,204.0,11.0,6.0,80.0,18.0,24.0,30.0,26.0,269.46805,280.3961,196.32526,169.31651,170.3885,53.95737,217.17888,271.13626
0.0,30.0,0.0,136.0,28.0,17.0,119.0,190.0,68.0,68.0,0.0,90.0,11.0,12.0,38.0,11.0,279.6293,261.40283,232.28723,208.21219,196.39417,35.00903,235.58513,270.59415
0.0,41.0,28.0,204.0,17.0,17.0,96.0,245.0,136.0,34.0,0.0,128.0,32.0,35.0,30.0,41.0,279.74893,258.8988,220.69394,176.48271,191.99028,43.60935,225.56294,269.1723
0.0,24.0,9.0,204.0,28.0,40.0,96.0,82.0,136.0,45.0,6.0,90.0,14.0,6.0,38.0,16.0,263.13785,270.31888,243.61658,206.93198,197.56267,32.764874,236.31357,269.07843
