(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
8.0,0.0,38.0,68.0,28.0,25.0,62.0,227.0,23.0,102.0,38.0,42.0,11.0,6.0,18.0,21.0
60.0,53.0,0.0,181.0,28.0,47.0,119.0,136.0,159.0,102.0,25.0,42.0,18.0,35.0,26.0,26.0
15.0,18.0,47.0,23.0,21.0,40.0,62.0,172.0,113.0,102.0,25.0,42.0,35.0,47.0,9.0,36.0
8.0,47.0,38.0,204.0,36.0,51.0,85.0,100.0,0.0,34.0,25.0,52.0,21.0,6.0,30.0,26.0
53.0,30.0,19.0,113.0,36.0,28.0,96.0,100.0,204.0,23.0,50.0,71.0,18.0,41.0,30.0,26.0
60.0,18.0,47.0,0.0,28.0,17.0,108.0,190.0,91.0,11.0,19.0,128.0,28.0,18.0,34.0,36.0
53.0,12.0,38.0,45.0,28.0,47.0,142.0,154.0,204.0,68.0,57.0,99.0,28.0,18.0,14.0,46.0
53.0,6.0,0.0,23.0,25.0,25.0,119.0,245.0,23.0,68.0,38.0,128.0,35.0,47.0,22.0,46.0
0.0,6.0,76.0,91.0,36.0,21.0,96.0,190.0,45.0,79.0,0.0,80.0,39.0,12.0,38.0,11.0
30.0,47.0,85.0,68.0,25.0,36.0,74.0,227.0,181.0,0.0,57.0,90.0,35.0,0.0,9.0,31.0
30.0,18.0,0.0,68.0,51.0,21.0,62.0,209.0,23.0,91.0,13.0,61.0,35.0,47.0,14.0,26.0
60.0,53.0,57.0,68.0,47.0,28.0,96.0,190.0,113.0,79.0,50.0,109.0,14.0,18.0,18.0,11.0
38.0,0.0,85.0,181.0,28.0,51.0,85.0,82.0,23.0,0.0,19.0,52.0,11.0,30.0,9.0,46.0
23.0,24.0,66.0,68.0,47.0,25.0,153.0,245.0,159.0,34.0,44.0,99.0,21.0,6.0,9.0,36.0
38.0,35.0,57.0,159.0,17.0,21.0,51.0,190.0,113.0,11.0,19.0,71.0,21.0,47.0,34.0,16.0
45.0,12.0,38.0,159.0,28.0,21.0,130.0,227.0,23.0,0.0,50.0,42.0,14.0,18.0,14.0,36.0
53.0,41.0,28.0,136.0,17.0,25.0,119.0,82.0,136.0,45.0,44.0,80.0,32.0,47.0,34.0,16.0
23.0,24.0,28.0,0.0,51.0,47.0,51.0,172.0,0.0,0.0,57.0,109.0,39.0,47.0,14.0,6.0
60.0,6.0,19.0,23.0,51.0,21.0,85.0,190.0,23.0,102.0,19.0,128.0,42.0,0.0,42.0,11.0
45.0,53.0,85.0,181.0,36.0,32.0,85.0,172.0,68.0,45.0,38.0,61.0,25.0,41.0,26.0,11.0
0.0,41.0,85.0,204.0,21.0,21.0,142.0,136.0,181.0,45.0,13.0,90.0,14.0,18.0,26.0,26.0
15.0,41.0,76.0,91.0,51.0,47.0,51.0,227.0,91.0,11.0,13.0,80.0,14.0,6.0,38.0,16.0
30.0,24.0,85.0,68.0,36.0,28.0,96.0,227.0,159.0,45.0,0.0,52.0,32.0,24.0,5.0,6.0
