Round,YE (g/L),Tryptone (g/L),NaCl (g/L),K2HPO4 (g/L),MgSO4·7H2O (g/L),Glycerol (g/L),FAC (g/L),Na2S2O3 (g/L),Triton X-100 (g/L),Glycine (g/L),NH4OAc (g/L),CSL-P (g/L),ZnSO4·7H2O (g/L),Methionine (g/L),Cysteine (g/L),(NH4)2SO4 (g/L),EGT titer (mg/L),Medium material cost (CNY/L),EGT efficiency cost (mg /CNY)
Round 1-1,25.294118,16.705882,3.794118,1.647059,1.6,30,0.24,2.4,2.729412,1.058824,0,13.382353,1.929412,3.323529,5.352941,0,267.14205,50.708332,5.268208
Round 1-1,27.941176,8.705882,3.176471,1,0.423529,30,0.051765,2.964706,4.423529,0,0.847059,30,0.282353,4.676471,4,0,289.30648,53.32192,5.425658
Round 1-1,25.294118,16.705882,3.794118,1.882353,1.223529,30,0.169412,5.929412,2.258824,0,0.847059,0,1.129412,0.676471,2,0,282.512265,38.660609,7.307496
Round 1-1,35.882353,11.294118,3.794118,1.647059,0.611765,30,0.216471,1.976471,4.988235,0,0.847059,6.617647,1.364706,4.676471,5.352941,0,272.024502,46.412492,5.861019
Round 1-1,22.5,7.294118,2.205882,1.235294,0.8,30,0.216471,3.952941,2.258824,0,0.847059,10,0.564706,2,6,0,221.224327,35.746205,6.18875
Round 1-1,11.911765,16.705882,4.147059,1,1.788235,30,0.145882,2.964706,2.258824,0,0.847059,26.617647,1.647059,5.323529,2,0,220.632717,50.314412,4.38508
Round 1-1,33.235294,18,2.823529,1.882353,1.411765,21.529412,0.216471,1.411765,3.294118,1.058824,0,0,0,6,2.647059,0,200.294731,46.063176,4.348261
Round 1-1,11.911765,16.705882,2.823529,2.352941,0.988235,14.823529,0.051765,3.388235,3.294118,4.470588,0.847059,13.382353,0,3.323529,1.352941,0,168.787081,40.935812,4.123213
Round 1-1,11.911765,7.294118,3.794118,1.882353,0.611765,21.529412,0.24,3.952941,2.258824,1.058824,0,23.382353,1.929412,0.676471,2,0,228.492755,35.391226,6.456198
Round 1-1,25.294118,10,2.470588,3,1.6,38.117647,0.028235,3.952941,4.988235,5.529412,0,10,0.282353,4,2.647059,0,258.264642,41.421614,6.235021
Round 1-1,25.294118,10,3.176471,3,0.611765,28.235294,0.028235,3.388235,0.564706,6.705882,0,16.617647,0,2.676471,0.647059,0,205.353843,42.527012,4.828786
Round 1-1,19.852941,12.705882,2.205882,1,0.235294,34.941176,0.028235,2.964706,4.423529,8.941176,0,30,0,5.323529,3.352941,0,188.050147,55.908859,3.363513
