YE (g/L),Tryptone (g/L),NaCl (g/L),K2HPO4 (g/L),MgSO4·7H2O (g/L),Glycerol (g/L),FAC (g/L),Na2S2O3 (g/L),Triton X-100 (g/L),Glycine (g/L),NH4OAc (g/L),CSL-P (g/L),ZnSO4·7H2O (g/L),Methionine (g/L),Cysteine (g/L),(NH4)2SO4 (g/L),pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,pred_titer_5,pred_titer_6,pred_titer_7,pred_titer_8,pred_titer_9,pred_titer_10,pred_titer_11,pred_titer_12,pred_titer_13,pred_titer_14,pred_titer_15,pred_titer_16,pred_titer_17,pred_titer_18,pred_titer_19,regressors_std,mean_vote,UCB
12.0,8.667,2.167,2.778,0.444,41.667,0.17,6.0,2.778,2.222,0.889,30.0,1.111,4.667,1.333,6.222,154.99591,146.71375,200.6697,160.84361,109.151344,141.5118,195.10884,139.93124,132.30159,153.72809,149.09435,158.54965,214.1194,165.75636,151.09181,239.56543,228.37662,214.57814,181.62862,122.79895,36.22758,168.02579,204.25337
22.667,15.333,1.833,1.222,2.0,31.667,0.123,3.0,5.0,2.222,0.889,30.0,1.111,1.333,0.667,1.778,153.56946,143.11925,199.36534,159.06712,99.13977,141.5118,189.72453,133.72057,145.65015,182.15645,148.01976,163.93375,200.75821,174.87878,149.0343,238.318,230.50795,207.49251,181.88559,117.57871,36.07278,167.97159,204.04437
28.0,11.333,2.167,1.444,0.444,38.333,0.053,5.5,1.667,1.111,0.889,30.0,0.833,2.667,2.667,4.444,155.67401,151.80391,203.08159,156.29944,112.24802,138.04483,199.17455,143.97641,131.85983,159.61974,153.76166,168.58582,204.49147,162.91826,154.8642,234.25145,225.51727,217.62445,180.19957,131.62453,34.06273,169.28105,203.34378
28.0,16.667,1.833,1.0,0.833,41.667,0.03,4.5,1.111,1.111,0.889,30.0,0.0,3.333,5.333,4.444,155.25613,151.67073,202.5861,156.79161,113.428055,138.04483,199.42903,143.8616,131.85983,159.62912,153.23085,171.41309,204.49147,162.65454,154.8642,233.70546,225.25685,218.13914,180.19957,131.60777,33.933853,169.406,203.33986
30.667,6.0,1.833,2.333,0.444,45.0,0.123,5.0,4.444,0.0,0.889,30.0,2.222,4.667,0.667,7.111,155.68973,151.1535,201.95998,156.88217,101.15568,141.5118,197.16681,147.11583,142.40694,151.41919,152.48405,165.32452,212.92566,159.31163,157.62233,231.39238,226.4704,214.23332,177.40027,130.96654,34.467606,168.72963,203.19724
17.333,12.667,2.167,1.0,0.444,35.0,0.03,1.5,4.444,0.0,0.889,30.0,0.556,4.667,0.0,1.778,155.85275,151.22023,199.99486,155.97855,102.97296,141.5118,197.66995,147.57443,141.56349,151.8837,153.0313,169.24232,212.55061,159.32193,158.3828,228.41893,226.6683,216.56635,177.58908,130.96654,34.07291,168.94804,203.02095
28.0,10.0,2.167,1.0,1.222,25.0,0.17,5.0,3.333,0.0,0.889,30.0,0.278,1.333,0.667,6.222,154.6623,147.26091,203.60274,159.85524,103.18102,141.5118,193.27612,140.12497,145.65282,169.38254,151.12398,170.08984,200.28224,159.0447,152.66751,233.55699,229.04712,209.70865,181.7164,128.02736,33.988674,168.68875,202.67743
12.0,16.667,1.5,1.667,0.639,35.0,0.053,2.0,0.0,1.111,0.889,30.0,1.389,4.0,2.0,6.222,154.48357,151.50911,201.54541,156.79161,113.63442,138.04483,199.10225,142.5921,131.85983,152.61629,151.79912,171.5101,204.24335,162.18341,153.67734,227.56023,225.25685,217.85019,180.19957,125.392944,33.88552,168.09262,201.97815
25.333,16.667,2.167,1.0,0.444,28.333,0.053,4.0,0.556,2.222,0.889,30.0,0.833,2.667,4.0,0.889,153.14117,147.10493,196.72311,158.53879,113.90969,138.04483,195.50008,137.44142,132.2801,148.6939,146.01247,167.7252,204.24335,161.56201,149.50664,232.75362,225.25685,216.45718,180.19957,115.59841,35.207096,166.03467,201.24176
25.333,15.333,1.5,2.778,1.417,35.0,0.077,2.5,3.889,1.111,0.0,30.0,0.0,5.333,2.0,0.889,156.67085,148.33887,204.5294,153.76587,109.751884,138.04483,197.68004,145.66127,131.2842,155.34608,150.04909,169.4042,210.98088,154.53004,155.43134,190.58965,225.3031,217.236,187.71156,132.55444,32.09575,166.74318,198.83893
