,(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,replicate_1,replicate_2,replicate_3,mean_titer(mg/L),STD,CV,mean_output per unit medium cost (mg/CNY)
C1,0,12,38,45,40,28,51,81,159,11,0,99,17,6,26,51,303.0242993,269.3016266,257.1502463,276.4920574,19.40590815,7.018613241,11.27888436
D1,0,41,0,45,51,25,74,117,68,102,6,127,24,35,30,26,306.9663785,325.8183424,237.0263552,289.9370254,38.19688817,13.17420158,8.632520867
E1,0,53,38,0,43,51,74,153,136,57,0,127,14,53,30,31,290.0908777,266.9905093,205.9203174,254.3339014,35.50880729,13.961492,7.852273521
F1,8,29,0,68,21,47,74,117,204,11,0,99,24,18,26,26,297.7831248,259.7505657,210.4264691,255.9867198,35.76237526,13.97040256,7.831432056
G1,0,18,57,45,17,21,85,81,91,0,6,118,42,29,17,6,260.505567,274.8887702,249.6917077,261.6953483,10.32100361,3.943900296,8.843316289
H1,0,35,38,45,36,43,108,99,45,34,0,99,42,6,38,16,310.8065352,320.0134812,338.304448,323.0414881,11.4283397,3.537731257,9.379413784
A2,8,29,9,0,32,51,108,99,23,0,6,99,17,12,30,11,244.6132699,226.9266478,221.1503018,230.8967399,9.981614464,4.322977653,8.545235982
B2,8,24,19,68,32,51,62,117,159,23,0,108,42,41,9,26,236.2925554,259.9931064,266.2497833,254.1784817,12.90261656,5.076203334,7.871874136
C2,8,47,47,45,32,43,96,81,181,0,0,80,42,47,13,21,253.413639,282.8837693,260.3207266,265.5393783,12.58432595,4.739156214,8.333891056
D2,0,12,47,45,25,47,85,99,45,91,6,118,31,29,30,16,371.6617741,336.6024751,327.7566599,345.340303,18.95920165,5.490005505,10.16591173
E2,0,24,47,23,21,40,108,117,0,11,6,127,35,24,34,6,319.6442066,270.8861049,267.0719203,285.8674106,23.93450734,8.372590389,8.697831456
F2,0,47,38,23,40,47,74,172,136,0,0,127,35,41,13,41,313.1357248,318.177479,314.5077908,315.2736649,2.128339538,0.675076854,9.285667389
G2,0,24,9,23,40,28,85,153,0,11,0,80,21,47,38,36,216.3089824,216.0686413,216.3948318,216.2574852,0.138055622,0.063838541,7.203728374
H2,0,18,28,91,40,51,51,99,68,23,0,80,28,18,34,26,250.7105541,251.6409251,261.375988,254.5758224,4.823421096,1.89468939,8.555865848
A3,0,18,0,68,47,36,85,172,45,0,0,89,28,47,42,11,305.3912989,245.9259877,176.1844315,242.5005727,52.80406389,21.77482028,6.745859134
B3,0,29,47,23,40,21,62,226,159,23,0,118,21,24,13,36,268.2187154,275.6971565,253.7497067,265.8885262,9.110249732,3.426341806,7.195041957
C3,8,41,28,0,25,17,142,81,0,102,0,127,31,12,26,31,301.024752,328.6223272,273.4271767,301.024752,22.53332584,7.48553921,8.478751685
D3,8,12,0,45,28,17,74,244,113,23,0,80,31,35,21,16,315.0078719,285.61022,267.3137607,289.3106175,19.64606434,6.790647544,7.382491042
E3,0,41,0,45,17,21,96,190,45,0,0,108,35,12,30,26,314.0447576,300.5922846,302.1326861,305.5899095,6.011464201,1.967167114,8.206795291
F3,8,41,38,45,28,21,85,117,181,91,0,99,10,18,30,11,309.8807702,270.0383637,289.4900402,289.803058,16.26710024,5.613156864,8.054502813
G3,0,47,9,0,36,32,85,244,136,57,0,108,14,53,13,31,220.3972859,227.0594754,265.4199018,237.6255544,19.8408754,8.349638765,6.029647811
H3,8,0,0,0,51,40,62,135,181,79,0,89,24,35,17,51,153.8830476,159.6304358,149.2584476,154.2573103,4.242608416,2.750345126,5.53901422
A4,8,47,38,68,51,47,51,153,68,45,6,80,31,29,42,21,299.9866534,237.0378053,238.4091498,258.4778695,29.35648143,11.35744483,7.608519788
B4,0,35,57,45,21,43,51,226,23,68,6,118,10,47,30,51,279.6770748,219.0274867,239.3401411,246.0149009,25.20591794,10.2456875,6.373587943
C4,8,47,19,0,32,28,96,153,113,79,6,127,10,12,5,16,303.150995,250.2567938,242.5899311,265.3325733,26.92421414,10.14734595,7.604020305
D4,0,29,9,45,36,36,51,208,159,45,6,127,28,12,9,6,288.9058063,241.4749973,275.5982009,268.6596682,19.9754489,7.435224288,7.386512714
E4,8,53,47,45,25,51,108,172,45,23,6,89,38,41,13,16,280.327815,270.7351822,277.1478959,276.0702977,3.98961688,1.445145281,6.817342303
F4,0,12,28,45,51,43,85,99,181,79,0,89,38,12,21,46,262.6441563,256.490067,267.8487766,262.3276666,4.642570795,1.76976026,7.752012002
G4,0,29,19,113,43,47,74,81,45,23,0,99,42,12,17,36,315.6543169,264.5599266,269.844275,283.3528395,22.94224875,8.096706845,8.368576115
H4,8,41,9,45,47,21,74,208,136,57,0,99,10,24,26,16,265.3706371,242.7955027,254.9494275,254.3718558,9.225304496,3.626700158,6.544030923
A5,0,0,19,23,47,17,85,244,136,0,0,118,14,24,30,16,206.3212076,201.9541312,174.6785153,194.3179513,14.00115295,7.20528024,5.034263805
B5,8,0,57,0,43,43,51,172,136,45,6,108,17,12,13,41,194.2497676,170.7305121,148.0614401,171.0139066,18.85737051,11.0268053,5.803364256
C5,8,53,28,91,17,36,74,99,113,57,6,118,10,47,5,31,292.9411391,266.4622967,259.2792206,272.8942188,14.47545983,5.30442158,7.587145542
D5,8,29,38,136,25,40,62,99,181,34,0,127,17,0,26,16,290.6616806,256.2754047,269.9590247,272.2987034,14.13528832,5.19109645,7.085912691
E5,0,12,0,0,43,28,119,226,113,0,6,89,42,47,34,6,273.0084302,270.0271215,263.8121942,268.9492486,3.830930828,1.424406593,6.841793608
F5,0,12,47,0,43,32,96,208,113,23,6,70,10,24,30,21,224.4046618,225.1335913,218.6862131,222.7414887,2.882912887,1.294286441,6.165764402
G5,8,24,0,23,21,25,153,208,113,11,0,118,21,18,5,36,252.8348111,253.896558,283.3888749,263.3734147,14.1597037,5.376284359,5.828228031
H5,0,53,0,113,32,36,51,135,45,23,6,108,17,18,42,41,235.9975739,220.6158591,257.119045,237.910826,14.96364586,6.289602753,6.876695746
A6,0,53,38,0,47,28,74,208,68,102,0,99,35,18,21,31,297.7931856,211.8262201,267.5873559,259.0689205,35.60901194,13.74499568,6.930838482
B6,8,24,38,0,47,32,153,117,0,45,6,89,10,29,26,51,288.7694223,249.7632635,238.680172,259.0709526,21.48190022,8.29189842,7.058842206
E6,0,41,19,45,36,17,142,135,68,57,6,99,14,35,5,16,301.05045,229.6215008,133.6682831,221.4467446,68.57753487,30.967958,5.27293147
