(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,output per unit medium cost (mg/CNY)
0,29,9,91,43,28,142,172,113,91,0,85,17,41,34,51,5.268208214
0,47,0,204,36,17,74,190,159,68,6,85,21,6,9,11,5.42135147
0,24,0,0,43,32,142,172,23,34,6,85,42,24,26,36,7.299499786
0,53,0,45,43,28,96,244,159,91,6,85,14,29,13,46,5.855675638
0,24,0,68,25,21,62,153,68,102,6,85,28,12,17,46,6.181426171
0,24,0,181,47,17,142,81,181,34,6,85,21,35,38,31,4.38139182
0,35,9,0,32,32,153,226,204,45,0,61,10,0,30,46,4.348261369
0,35,38,91,32,40,142,81,113,23,6,42,24,0,21,11,4.118951704
0,24,9,159,43,32,62,81,23,34,0,61,28,41,13,51,6.456197816
0,53,47,68,28,51,85,172,136,45,0,108,28,6,34,6,6.235021186
0,6,57,113,36,51,85,172,91,11,0,80,24,0,13,6,4.828786083
0,47,76,204,25,17,108,135,181,57,0,99,21,0,5,6,3.363512532
0,6,57,204,32,40,85,81,45,23,0,118,42,0,9,46,4.718774114
0,18,9,204,21,32,142,153,23,57,6,61,14,12,5,16,4.507018097
0,35,66,91,32,32,51,117,113,79,6,89,28,0,42,21,5.874979269
0,12,38,91,43,36,51,117,181,34,6,80,38,0,21,6,6.32307632
0,12,66,136,43,47,153,208,136,68,6,99,28,0,42,31,2.335867388
0,35,66,23,32,17,130,81,45,68,6,80,17,0,42,41,6.586841499
0,35,47,204,25,40,74,117,136,23,6,42,31,0,5,31,4.203760346
0,6,57,91,43,47,62,208,204,45,6,51,24,0,38,21,2.836121965
0,41,28,204,21,28,74,190,23,57,6,99,28,0,26,46,4.626639226
0,47,47,181,43,32,51,99,181,11,6,99,24,0,42,16,5.702037132
0,41,76,113,40,36,153,172,68,11,6,42,14,0,5,16,3.520946532
0,53,76,45,47,51,119,117,159,34,6,70,24,6,34,51,4.951730815
0,6,9,0,43,47,142,208,204,68,0,80,17,35,21,51,5.564921582
0,35,9,68,43,32,119,99,181,34,0,61,28,35,21,11,6.491130231
0,12,9,159,36,32,153,226,113,79,0,61,35,53,38,11,3.622522835
0,41,9,0,40,47,108,153,204,57,0,70,24,24,9,11,5.912604977
0,18,57,136,43,47,108,135,204,57,0,80,38,41,13,51,3.353543311
0,24,66,113,47,32,153,172,45,34,0,89,24,6,26,16,4.814736066
0,41,38,136,40,36,85,99,136,102,0,127,17,53,34,6,6.308229953
0,35,47,0,47,47,142,153,181,57,0,80,10,18,13,51,5.703149945
0,6,38,204,21,28,62,244,113,11,0,108,14,12,26,6,3.981540051
0,6,85,113,32,32,119,172,181,45,0,127,28,24,26,16,3.45479545
0,41,9,181,28,51,96,81,113,91,6,99,17,41,5,46,5.924346833
0,18,9,45,25,40,96,226,204,68,6,108,42,18,17,16,6.663152734
0,12,9,113,17,17,74,226,23,79,6,127,21,24,38,6,3.975867853
0,53,0,45,25,17,51,208,181,11,6,127,42,0,17,31,6.878399834
0,6,0,91,36,21,96,81,68,11,0,118,42,0,42,41,5.599827151
0,53,0,45,51,43,51,190,204,68,0,127,17,0,38,36,7.651763932
68,18,85,91,51,43,62,172,181,45,44,51,21,47,38,41,0
23,18,38,0,25,47,74,190,136,91,0,42,10,6,9,6,2.016734105
15,12,9,113,40,21,153,244,204,34,0,80,24,24,13,6,4.075555276
45,0,38,45,36,43,74,99,45,91,56,99,17,47,30,51,0
60,29,76,45,40,36,108,99,68,34,19,80,21,41,17,16,0
60,0,85,45,40,32,142,172,159,79,44,127,17,18,42,26,0
38,12,57,45,47,32,74,153,113,45,31,99,38,35,30,31,0.140069092
0,29,57,159,40,28,142,244,204,23,19,51,28,6,9,51,0.361155557
0,12,28,136,25,21,96,190,204,79,19,108,28,53,30,11,3.819256667
38,12,9,23,51,43,108,226,113,11,6,108,17,53,34,11,5.4931439
8,47,19,23,17,21,51,244,181,91,25,99,17,41,21,46,2.331328912
23,29,19,23,21,40,74,153,204,91,31,51,35,18,17,36,0
0,6,57,136,43,51,142,208,45,91,19,108,10,6,13,21,0.304980636
15,12,66,68,51,21,108,226,45,68,0,118,21,29,17,31,0
60,0,19,91,28,28,119,117,204,11,31,99,31,0,26,51,0
60,47,9,113,43,21,130,135,113,11,44,42,24,18,13,31,0
30,0,38,136,28,21,62,190,113,11,6,51,24,35,26,26,2.960961809
23,0,76,204,51,32,108,244,181,102,25,80,17,12,9,31,0
